,0
663,"Garland County, Arkansas"
664,"Garrett County, Maryland"
665,"Garvin County, Oklahoma"
666,"Garza County, Texas"
667,"Gaston County, North Carolina"
668,"Geary County, Kansas"
669,"Geauga County, Ohio"
670,"Genesee County, Michigan"
671,"Genesee County, New York"
672,"Geneva County, Alabama"
673,"George County, Mississippi"
674,"Georgetown County, South Carolina"
675,"Gibson County, Indiana"
676,"Gibson County, Tennessee"
677,"Gila County, Arizona"
678,"Gilchrist County, Florida"
679,"Giles County, Tennessee"
680,"Gillespie County, Texas"
681,"Gilmer County, Georgia"
682,"Glades County, Florida"
683,"Glenn County, California"
684,"Gloucester County, New Jersey"
685,"Gloucester County, Virginia"
686,"Glynn County, Georgia"
687,"Gonzales County, Texas"
688,"Goochland County, Virginia"
689,"Goodhue County, Minnesota"
690,"Gordon County, Georgia"
691,"Grady County, Georgia"
692,"Grady County, Oklahoma"
693,"Grafton County, New Hampshire"
694,"Graham County, Arizona"
695,"Grainger County, Tennessee"
696,"Grand County, Colorado"
697,"Grand County, Utah"
698,"Grand Forks County, North Dakota"
699,"Grand Traverse County, Michigan"
700,"Grant County, Arkansas"
701,"Grant County, Indiana"
702,"Grant County, Kentucky"
703,"Grant County, New Mexico"
704,"Grant County, Washington"
705,"Grant County, Wisconsin"
706,"Grant Parish, Louisiana"
707,"Granville County, North Carolina"
708,"Gratiot County, Michigan"
709,"Graves County, Kentucky"
710,"Gray County, Texas"
711,"Grays Harbor County, Washington"
712,"Grayson County, Kentucky"
713,"Grayson County, Texas"
714,"Green County, Wisconsin"
715,"Greenbrier County, West Virginia"
716,"Greene County, Alabama"
717,"Greene County, Arkansas"
718,"Greene County, Georgia"
719,"Greene County, Indiana"
720,"Greene County, Missouri"
721,"Greene County, New York"
722,"Greene County, North Carolina"
723,"Greene County, Ohio"
724,"Greene County, Pennsylvania"
725,"Greene County, Tennessee"
726,"Greene County, Virginia"
727,"Greensville County, Virginia"
728,"Greenup County, Kentucky"
729,"Greenville County, South Carolina"
730,"Greenwood County, South Carolina"
731,"Gregg County, Texas"
732,"Grenada County, Mississippi"
733,"Grimes County, Texas"
734,"Grundy County, Illinois"
735,"Grundy County, Iowa"
736,"Grundy County, Tennessee"
737,"Guadalupe County, New Mexico"
738,"Guadalupe County, Texas"
739,"Guernsey County, Ohio"
740,"Guilford County, North Carolina"
741,"Gulf County, Florida"
742,"Gunnison County, Colorado"
743,"Gwinnett County, Georgia"
744,"Habersham County, Georgia"
745,"Hale County, Texas"
746,"Halifax County, North Carolina"
747,"Halifax County, Virginia"
748,"Hall County, Georgia"
749,"Hall County, Nebraska"
750,"Hamblen County, Tennessee"
751,"Hamilton County, Florida"
752,"Hamilton County, Indiana"
753,"Hamilton County, Iowa"
754,"Hamilton County, Ohio"
755,"Hamilton County, Tennessee"
756,"Hamilton County, Texas"
757,"Hampden County, Massachusetts"
758,"Hampshire County, Massachusetts"
759,"Hampton County, South Carolina"
760,"Hancock County, Indiana"
761,"Hancock County, Maine"
762,"Hancock County, Mississippi"
763,"Hancock County, Ohio"
764,"Hancock County, West Virginia"
765,"Hanover County, Virginia"
766,"Haralson County, Georgia"
767,"Hardee County, Florida"
768,"Hardeman County, Tennessee"
769,"Hardin County, Iowa"
770,"Hardin County, Kentucky"
771,"Hardin County, Ohio"
772,"Hardin County, Tennessee"
773,"Hardin County, Texas"
774,"Harford County, Maryland"
775,"Harnett County, North Carolina"
776,"Harris County, Georgia"
777,"Harris County, Texas"
778,"Harrison County, Indiana"
779,"Harrison County, Iowa"
780,"Harrison County, Mississippi"
781,"Harrison County, Texas"
782,"Harrison County, West Virginia"
783,"Hart County, Georgia"
784,"Hart County, Kentucky"
785,"Hartford County, Connecticut"
786,"Hartley County, Texas"
787,"Harvey County, Kansas"
788,"Hawkins County, Tennessee"
789,"Hays County, Texas"
790,"Haywood County, North Carolina"
791,"Haywood County, Tennessee"
792,"Hempstead County, Arkansas"
793,"Henderson County, Kentucky"
794,"Henderson County, North Carolina"
795,"Henderson County, Tennessee"
796,"Henderson County, Texas"
797,"Hendricks County, Indiana"
798,"Hendry County, Florida"
799,"Hennepin County, Minnesota"
800,"Henrico County, Virginia"
801,"Henry County, Georgia"
802,"Henry County, Illinois"
803,"Henry County, Indiana"
804,"Henry County, Iowa"
805,"Henry County, Kentucky"
806,"Henry County, Missouri"
807,"Henry County, Ohio"
808,"Henry County, Tennessee"
809,"Henry County, Virginia"
810,"Herkimer County, New York"
811,"Hernando County, Florida"
812,"Hertford County, North Carolina"
813,"Hickman County, Tennessee"
814,"Hidalgo County, New Mexico"
815,"Hidalgo County, Texas"
816,"Highland County, Ohio"
817,"Highlands County, Florida"
818,"Hill County, Texas"
819,"Hillsborough County, Florida"
820,"Hillsborough County, New Hampshire"
821,"Hillsdale County, Michigan"
822,"Hinds County, Mississippi"
823,"Hocking County, Ohio"
824,"Hockley County, Texas"
825,"Hoke County, North Carolina"
826,"Holmes County, Florida"
827,"Holmes County, Mississippi"
828,"Holmes County, Ohio"
829,"Hood County, Texas"
830,"Hood River County, Oregon"
831,"Hopkins County, Kentucky"
832,"Hopkins County, Texas"
833,"Horry County, South Carolina"
834,"Hot Spring County, Arkansas"
835,"Houghton County, Michigan"
836,"Houston County, Alabama"
837,"Houston County, Georgia"
838,"Houston County, Texas"
839,"Howard County, Indiana"
840,"Howard County, Maryland"
841,"Howard County, Texas"
842,"Howell County, Missouri"
843,"Hubbard County, Minnesota"
844,"Hudson County, New Jersey"
845,"Humboldt County, California"
846,"Humboldt County, Nevada"
847,"Humphreys County, Tennessee"
848,"Hunt County, Texas"
849,"Hunterdon County, New Jersey"
850,"Huntingdon County, Pennsylvania"
851,"Huntington County, Indiana"
852,"Huron County, Michigan"
853,"Huron County, Ohio"
854,"Hutchinson County, Texas"
855,"Iberia Parish, Louisiana"
856,"Iberville Parish, Louisiana"
857,"Imperial County, California"
858,"Independence County, Arkansas"
859,"Indian River County, Florida"
860,"Indiana County, Pennsylvania"
861,"Ingham County, Michigan"
862,"Inyo County, California"
863,"Ionia County, Michigan"
864,"Iowa County, Iowa"
865,"Iowa County, Wisconsin"
866,"Iredell County, North Carolina"
867,"Iron County, Utah"
868,"Iroquois County, Illinois"
869,"Isabella County, Michigan"
870,"Isanti County, Minnesota"
871,"Island County, Washington"
872,"Isle of Wight County, Virginia"
873,"Itasca County, Minnesota"
874,"Itawamba County, Mississippi"
875,"Jack County, Texas"
876,"Jackson County, Alabama"
877,"Jackson County, Arkansas"
878,"Jackson County, Florida"
879,"Jackson County, Georgia"
880,"Jackson County, Illinois"
881,"Jackson County, Indiana"
882,"Jackson County, Michigan"
883,"Jackson County, Mississippi"
884,"Jackson County, Missouri"
885,"Jackson County, North Carolina"
886,"Jackson County, Ohio"
887,"Jackson County, Oklahoma"
888,"Jackson County, Oregon"
889,"Jackson County, Texas"
890,"Jackson County, West Virginia"
891,"Jackson County, Wisconsin"
892,"James City County, Virginia"
893,"Jasper County, Georgia"
894,"Jasper County, Indiana"
895,"Jasper County, Iowa"
896,"Jasper County, Mississippi"
897,"Jasper County, Missouri"
898,"Jasper County, South Carolina"
899,"Jasper County, Texas"
900,"Jay County, Indiana"
901,"Jefferson County, Alabama"
902,"Jefferson County, Arkansas"
903,"Jefferson County, Colorado"
904,"Jefferson County, Florida"
905,"Jefferson County, Idaho"
906,"Jefferson County, Illinois"
907,"Jefferson County, Indiana"
908,"Jefferson County, Kansas"
909,"Jefferson County, Kentucky"
910,"Jefferson County, Missouri"
